city_name,点数量,边数量,city_around_list_name
南宁,14,21,"[('南宁', '广州'), ('南宁', '崇左'), ('南宁', '百色'), ('南宁', '河池'), ('南宁', '钦州'), ('南宁', '玉林'), ('南宁', '贵港'), ('南宁', '柳州'), ('南宁', '来宾'), ('南宁', '防城港'), ('南宁', '桂林'), ('南宁', '北海'), ('南宁', '梧州'), ('防城港', '钦州'), ('玉林', '贵港'), ('来宾', '柳州'), ('贵港', '梧州'), ('河池', '柳州'), ('河池', '百色'), ('钦州', '北海'), ('桂林', '柳州')]"
海口,12,11,"[('澄迈', '海口'), ('儋州', '海口'), ('临高县', '海口'), ('定安县', '海口'), ('海口', '定安'), ('海口', '临高'), ('海口', '澄迈县'), ('海口', '三亚'), ('海口', '文昌'), ('海口', '琼海'), ('海口', '万宁')]"
贵阳,12,26,"[('黔东南苗族侗族自治州', '贵阳'), ('黔东南苗族侗族自治州', '黔南布依族苗族自治州'), ('重庆', '铜仁地区'), ('重庆', '遵义'), ('重庆', '贵阳'), ('重庆', '铜仁'), ('贵阳', '铜仁地区'), ('贵阳', '毕节地区'), ('贵阳', '毕节'), ('贵阳', '黔南布依族苗族自治州'), ('贵阳', '遵义'), ('贵阳', '安顺'), ('贵阳', '六盘水'), ('贵阳', '铜仁'), ('贵阳', '黔西南布依族苗族自治州'), ('黔西南布依族苗族自治州', '六盘水'), ('黔西南布依族苗族自治州', '安顺'), ('毕节', '六盘水'), ('毕节', '遵义'), ('毕节', '安顺'), ('安顺', '毕节地区'), ('安顺', '六盘水'), ('遵义', '铜仁地区'), ('遵义', '毕节地区'), ('遵义', '铜仁'), ('毕节地区', '六盘水')]"
昆明,15,21,"[('重庆', '成都'), ('重庆', '昆明'), ('玉溪', '昆明'), ('玉溪', '红河哈尼族彝族自治州'), ('楚雄彝族自治州', '昆明'), ('昆明', '成都'), ('昆明', '曲靖'), ('昆明', '红河哈尼族彝族自治州'), ('昆明', '昭通'), ('昆明', '大理白族自治州'), ('昆明', '文山壮族苗族自治州'), ('昆明', '西双版纳傣族自治州'), ('昆明', '临沧'), ('昆明', '普洱'), ('昆明', '丽江'), ('昆明', '保山'), ('普洱', '西双版纳傣族自治州'), ('大理白族自治州', '保山'), ('大理白族自治州', '丽江'), ('曲靖', '红河哈尼族彝族自治州'), ('红河哈尼族彝族自治州', '文山壮族苗族自治州')]"
拉萨,3,2,"[('山南地区', '拉萨'), ('拉萨', '山南')]"
西安,18,27,"[('运城', '西安'), ('宁夏回族自治区', '榆林'), ('宁夏回族自治区', '庆阳'), ('宁夏回族自治区', '西安'), ('渭南', '西安'), ('渭南', '咸阳'), ('北京', '成都'), ('北京', '西安'), ('北京', '郑州'), ('北京', '浙江'), ('延安', '西安'), ('延安', '榆林'), ('浙江', '成都'), ('浙江', '郑州'), ('浙江', '西安'), ('成都', '西安'), ('榆林', '西安'), ('兰州', '西安'), ('郑州', '西安'), ('宝鸡', '西安'), ('宝鸡', '咸阳'), ('铜川', '西安'), ('商洛', '西安'), ('安康', '西安'), ('西安', '咸阳'), ('西安', '汉中'), ('西安', '庆阳')]"
兰州,9,10,"[('白银', '兰州'), ('兰州', '西安'), ('兰州', '定西'), ('兰州', '临夏回族自治州'), ('兰州', '天水'), ('兰州', '武威'), ('兰州', '陇南'), ('兰州', '西宁'), ('陇南', '天水'), ('临夏回族自治州', '定西')]"
西宁,7,6,"[('海南藏族自治州', '西宁'), ('海东地区', '西宁'), ('兰州', '西宁'), ('西宁', '海东'), ('西宁', '海北藏族自治州'), ('西宁', '海西蒙古族藏族自治州')]"
银川,6,8,"[('吴忠', '银川'), ('吴忠', '中卫'), ('银川', '内蒙古自治区'), ('银川', '石嘴山'), ('银川', '中卫'), ('银川', '固原'), ('中卫', '固原'), ('石嘴山', '内蒙古自治区')]"
乌鲁木齐,8,8,"[('伊犁哈萨克自治州', '乌鲁木齐'), ('伊犁哈萨克自治州', '塔城地区'), ('昌吉回族自治州', '乌鲁木齐'), ('塔城地区', '乌鲁木齐'), ('吐鲁番', '乌鲁木齐'), ('巴音郭楞蒙古自治州', '乌鲁木齐'), ('吐鲁番地区', '乌鲁木齐'), ('乌鲁木齐', '五家渠')]"
北京,13,24,"[('张家口', '北京'), ('张家口', '内蒙古自治区'), ('唐山', '北京'), ('唐山', '天津'), ('天津', '北京'), ('天津', '廊坊'), ('天津', '沧州'), ('天津', '保定'), ('北京', '廊坊'), ('北京', '保定'), ('北京', '邯郸'), ('北京', '承德'), ('北京', '上海'), ('北京', '石家庄'), ('北京', '沧州'), ('北京', '内蒙古自治区'), ('北京', '浙江'), ('沧州', '石家庄'), ('沧州', '保定'), ('沧州', '廊坊'), ('浙江', '上海'), ('邯郸', '石家庄'), ('保定', '石家庄'), ('保定', '廊坊')]"
上海,14,37,"[('常州', '上海'), ('常州', '南京'), ('常州', '无锡'), ('常州', '苏州'), ('常州', '浙江'), ('合肥', '上海'), ('合肥', '浙江'), ('宁波', '上海'), ('宁波', '杭州'), ('北京', '上海'), ('北京', '浙江'), ('杭州', '上海'), ('杭州', '苏州'), ('杭州', '嘉兴'), ('杭州', '湖州'), ('无锡', '上海'), ('无锡', '南京'), ('无锡', '苏州'), ('无锡', '浙江'), ('南京', '上海'), ('南京', '苏州'), ('南京', '盐城'), ('南京', '浙江'), ('上海', '苏州'), ('上海', '嘉兴'), ('上海', '南通'), ('上海', '盐城'), ('上海', '湖州'), ('上海', '浙江'), ('浙江', '苏州'), ('浙江', '南通'), ('苏州', '南通'), ('苏州', '嘉兴'), ('苏州', '湖州'), ('苏州', '盐城'), ('南通', '盐城'), ('湖州', '嘉兴')]"
南京,14,28,"[('马鞍山', '南京'), ('常州', '上海'), ('常州', '南京'), ('常州', '无锡'), ('常州', '镇江'), ('常州', '苏州'), ('常州', '浙江'), ('滁州', '南京'), ('南京', '上海'), ('南京', '镇江'), ('南京', '苏州'), ('南京', '扬州'), ('南京', '淮安'), ('南京', '无锡'), ('南京', '徐州'), ('南京', '宿迁'), ('南京', '盐城'), ('南京', '浙江'), ('无锡', '上海'), ('无锡', '苏州'), ('无锡', '浙江'), ('浙江', '上海'), ('浙江', '苏州'), ('上海', '苏州'), ('上海', '盐城'), ('淮安', '宿迁'), ('徐州', '宿迁'), ('苏州', '盐城')]"
广州,15,34,"[('惠州', '广州'), ('惠州', '深圳'), ('惠州', '东莞'), ('广州', '广西壮族自治区'), ('广州', '浙江'), ('广州', '佛山'), ('广州', '东莞'), ('广州', '深圳'), ('广州', '清远'), ('广州', '中山'), ('广州', '肇庆'), ('广州', '江门'), ('广州', '珠海'), ('广州', '湛江'), ('广州', '韶关'), ('广州', '茂名'), ('东莞', '广西壮族自治区'), ('东莞', '深圳'), ('东莞', '佛山'), ('东莞', '中山'), ('浙江', '深圳'), ('佛山', '广西壮族自治区'), ('佛山', '深圳'), ('佛山', '中山'), ('佛山', '肇庆'), ('佛山', '江门'), ('佛山', '清远'), ('茂名', '湛江'), ('江门', '中山'), ('广西壮族自治区', '深圳'), ('广西壮族自治区', '湛江'), ('广西壮族自治区', '中山'), ('珠海', '中山'), ('中山', '深圳')]"
深圳,10,23,"[('惠州', '广州'), ('惠州', '深圳'), ('惠州', '东莞'), ('惠州', '河源'), ('广州', '广西壮族自治区'), ('广州', '浙江'), ('广州', '佛山'), ('广州', '东莞'), ('广州', '深圳'), ('广州', '中山'), ('河源', '深圳'), ('东莞', '广西壮族自治区'), ('东莞', '深圳'), ('东莞', '佛山'), ('东莞', '中山'), ('浙江', '深圳'), ('佛山', '广西壮族自治区'), ('佛山', '深圳'), ('佛山', '中山'), ('汕尾', '深圳'), ('广西壮族自治区', '深圳'), ('广西壮族自治区', '中山'), ('中山', '深圳')]"
重庆,7,9,"[('重庆', '浙江'), ('重庆', '成都'), ('重庆', '广安'), ('重庆', '遵义'), ('重庆', '达州'), ('重庆', '泸州'), ('泸州', '成都'), ('泸州', '遵义'), ('成都', '达州')]"
成都,19,24,"[('广元', '成都'), ('凉山彝族自治州', '成都'), ('内江', '成都'), ('内江', '自贡'), ('阿坝藏族羌族自治州', '成都'), ('遂宁', '成都'), ('自贡', '成都'), ('眉山', '成都'), ('眉山', '乐山'), ('泸州', '重庆'), ('泸州', '成都'), ('泸州', '宜宾'), ('达州', '重庆'), ('达州', '成都'), ('雅安', '成都'), ('德阳', '成都'), ('德阳', '绵阳'), ('成都', '重庆'), ('成都', '绵阳'), ('成都', '南充'), ('成都', '乐山'), ('成都', '资阳'), ('成都', '宜宾'), ('成都', '巴中')]"
